count,author
4658,TiagoLubiana
2,Lmichan
22,Daniel Mietchen
1,Pnuss
5,Eskivor
1,Arlo Barnes
168,MerlIwBot
53,BeneBot*
257,Sk!dbot
1,Wagino 20100516
2,Emw
1,Kaguya-Taketori
46,GZWDer (flood)
661,SR5
1,MechQuester
1,Luizpuodzius
51,Charles Matthews
20,Dexbot
3,KLBot2
1,Rezabot
1,Nullzerobot
5,JAnDbot
1,Ilacpod
2,EmausBot
1,Kevin Scannell
1,Romaine
1,Leyo
2,BotMultichill
1,180.11.39.218
1,EVI.ERC
6,Jc86035
2,Sjoerddebruin
11,ProteinBoxBot
2,Nikosguard
1,Fedor Babkin
1,Kareyac
3,ShinePhantom
2,Jmarchn
8,Okkn
1,NuriaQueralt
2,علاء
1,Aachen1196
1,RomanM82
2,Gepetito
1,Bunyk
1,Artix Kreiger
2,Frettie
1,Magnus Manske
1,Sokoljan
1,Athikhun.suw
3,Modeum
1,Vojtěch Dostál
1,Jeblad
1,Achim Raschka
1,Bluerasberry
1,Lord Bolingbroke
1,Shaishyy
1,SCIdude
1,Htmlzycq
3,Strobilomyces
3,Research Bot
7,Nickpolk
1,Chabe01
1,Outermayo
1,Andrawaag
3,Pi bot
1,M2k~dewiki
1,FischersFritz
1,This is also Sven Manguard
1,GeeJee
1,L'Onanisme
1,ZoraSilv
